Var1,Var2
0,57
2.3642295405055,58.4674282046486
4.4291198810409,59.7280523779696
6.54119037794598,60.9959897694576
8.70219817739784,62.2713172432727
10.913970730477,63.5540988016859
13.1784091948402,64.8443846619373
15.497492022938,66.1422102644272
17.8732787492593,67.4475952077125
20.3079139900665,68.7605421054171
22.8036316701549,70.0810353597739
25.3627594923348,71.4090398460841
27.9877236666118,72.744499501913
30.6810539174281,74.0873358143225
33.4453887888545,75.4374461978776
36.2834812692803,76.7947022555433
39.1982047589751,78.1589479139055
42.1925594058896,79.5299974233982
45.2696788372465,80.9076332133918
48.432837316875,82.2916035910837
51.6854573608722,83.6816202721244
55.0311178470664,85.0773557297971
58.4735626569358,86.4784403483373
62.0167098921335,87.8844593646106
65.6646617116184,89.2949495808553
69.4217148396341,90.7093958295182
73.2923717994576,92.1272271693427
77.2813529330024,93.5478127898018
81.3936092720681,94.9704575986583
85.6343363333391,96.3943974648692
90.0089889162191,97.8187940861909
94.5232969903301,99.2427294476491
99.1832827680925,100.665199833475
103.995279067334,102.085109351126
108.965949079478,103.501262921554
114.10230767066,104.912358684898
119.41174435626,106.31697976518
124.902048104009,107.713585331308
130.581434137207,109.100500884648
136.458572927907,110.475907695474
142.542621590435,111.837831301713
148.843257908637,113.184128973283
155.370717256057,114.512476034011
162.135832697339,115.820350920232
169.15007859183,117.105018840648
176.425618057322,118.363513885556
183.975354693522,119.592619414822
191.81298901206,120.788846532752
199.953080073283,121.948410433775
208.411112890814,123.067204375272
217.20357223387,124.140771002343
226.348023535961,125.164270713245
235.863201708353,126.132446712885
245.76910875927,127.039586354292
256.087121237349,127.879478313373
266.840108652764,128.645365079337
278.052564184609,129.329890170489
289.75074916191,129.92503940097
301.962853012169,130.422075426516
314.71917061036,130.81146468393
328.052299238593,131.082795706936
341.997357689072,131.224687646958
85.5407800301435,-9.71403575711106
82.570582472016,-13.2196368322129
79.7767324321435,-16.4686101020586
77.1426131655151,-19.4861124341892
74.6536164160439,-22.2941695046529
72.2968500068629,-24.9121400592477
70.0608948612841,-27.3571007471747
67.9356020128823,-29.6441668350474
65.9119221631752,-31.7867608445443
63.9817618822251,-33.7968386523822
62.1378617371369,-35.6850806556273
60.3736925607112,-37.4610540990127
58.6833668000509,-39.1333514809457
57.0615624593183,-40.7097090247864
55.5034576070091,-42.1971084644876
54.0046737824366,-43.6018648056205
52.5612269286593,-44.9297022513754
51.1694847151767,-46.185820103249
49.826129305193,-47.3749501385382
48.5281247782565,-48.501406716531
47.2726885467645,-49.5691306608083
46.0572662097621,-50.5817277972725
44.8795093740678,-51.542502889249
43.7372560445103,-52.4544895966167
42.6285132447249,-53.3204769909452
41.551441579756,-54.1430330794489
40.5043414934146,-54.9245257243625
39.4856410083808,-55.6671412887831
38.493884766574,-56.3729012932479
37.5277242122878,-57.0436773278071
36.5859087817606,-57.681204430884
35.6672779808591,-58.2870931177725
34.7707542479062,-58.8628402173873
33.8953365118116,-59.4098386551684
33.0400943669139,-59.9293863022935
32.2041627956113,-60.4226939960951
31.3867373781838,-60.8908928234374
30.5870699363996,-61.3350407474539
29.8044645637223,-61.7561286482068
29.0382740003308,-62.1550858392878
28.2878963158614,-62.5327851149396
27.5527718668726,-62.8900473757811
26.8323804996142,-63.2276458755322
26.1262389718182,-63.5463101261459
25.4338985699911,-63.8467294943622
24.7549429011203,-64.129556518827
24.0889858398712,-64.3954099734946
23.4356696142668,-64.6448777000013
22.7946630145644,-64.8785192290026
22.1656597115864,-65.0968682080746
21.5483766721591,-65.3004346516503
20.9425526605854,-65.4897070265621
20.3479468162426,-65.6651541850757
19.7643372984692,-65.8272271557953
19.1915199909064,-65.976360801488
18.6293072583902,-66.1129753516971
18.0775267503725,-66.2374778169745
17.5360202456789,-66.3502632906605
17.0046425342035,-66.4517161433548
16.4832603318922,-66.5422111145593
15.9717512260889,-66.6221143054158
15.4700026490025,-66.6917840760125
14.9779108777076,-66.7515718503806
14.4953800597138,-66.8018228320436
14.0223212637182,-66.8428766328176
13.5586515557037,-66.8750678174719
13.1042931010431,-66.8987263668559
12.6591722937258,-66.914178062162
12.2232189142205,-66.9217447931225
